Ref,Interested Party,Category,Description,Key IS Requirements & Expectations,Relevant Legal/Regulatory Basis,How Addressed in ISMS,Communication Method,Review Frequency,Owner
IP-011,Legal Department,Internal,"Provides legal advice and manages legal risks","Information security implications of contracts; legal requirements for data protection and retention; litigation hold procedures; regulatory investigation support","Various EU and national laws","Contract review procedures; legal hold procedures; regulatory response protocols; litigation support processes","Monthly legal-IS coordination meetings; contract reviews on demand; incident-based consultation",Monthly,General Counsel
IP-012,BaFin (German Federal Financial Supervisory Authority),External - Regulator,"Primary banking supervisor for EuroTrust Bank AG headquarters","Compliance with BAIT and MaRisk; incident reporting (within 72 hours for significant incidents); annual security assessment; audit rights; regulatory inspections","German Banking Act (KWG), BAIT, MaRisk, DORA (Digital Operational Resilience Act)","Regulatory compliance program; incident reporting procedures; annual supervisory reports; audit readiness program; BAIT mapping matrix","Formal incident notifications; annual compliance reports; on-site inspection support; ad-hoc supervisory meetings",Annual + ad-hoc,CISO/Compliance
IP-013,European Central Bank (ECB) / Single Supervisory Mechanism (SSM),External - Regulator,"European-level banking supervisor for significant institutions","Supervisory expectations for operational resilience; cyber risk management; third-party risk; business continuity; recovery capabilities","SSM Framework Regulation, ECB Guides on Cyber Resilience, DORA","Operational resilience framework; cyber risk assessment; TLPT (Threat-Led Penetration Testing); BCE compliance reporting","Annual supervisory dialogue; targeted reviews; SREP (Supervisory Review) participation",Annual,CEO/CISO
IP-014,National Data Protection Authorities (DPAs),External - Regulator,"GDPR enforcement authorities in Germany, France, Netherlands, Spain, Poland, Ireland","GDPR compliance; data breach notification (72 hours); cross-border data processing; data subject rights; privacy controls","GDPR, national data protection laws","GDPR compliance program; breach notification procedures; privacy impact assessments; data subject request procedures; BCR (Binding Corporate Rules)","Breach notifications (when required); annual transparency reports; consultation on high-risk processing",As required + annual,DPO
IP-015,"ACPR (France), DNB (Netherlands), Banco de España, KNF (Poland), CBI (Ireland)",External - Regulator,"National banking supervisors for EuroTrust Bank branch operations","Host country regulatory compliance; local incident reporting; local operational requirements; audit cooperation","National banking laws, EU directives (CRD V, DORA)","Branch-specific compliance programs; local incident reporting procedures; host regulator coordination","Local supervisory reporting; regulatory inquiries response; on-site inspections",Annual + ad-hoc,Branch Heads/Compliance
IP-016,"ENISA / National Cybersecurity Authorities (BSI Germany, ANSSI France, etc.)",External - Regulator,"National and EU-level cybersecurity authorities","NIS2 Directive compliance; cyber threat intelligence sharing; significant incident reporting; security standards adoption; vulnerability disclosure","NIS2 Directive, national cybersecurity laws, IT Security Act 2.0 (Germany)","NIS2 compliance framework; threat intelligence program; incident reporting to CERT authorities; vulnerability management program","Threat intelligence sharing; significant incident notifications; security advisories consumption",As required,CISO
IP-017,Retail Banking Customers,External - Customer,"Approximately 2 million individual customers across 6 countries","Protection of personal and financial data; secure online/mobile banking; transaction security; fraud prevention; privacy rights; service availability","GDPR, PSD2 (Payment Services Directive), Consumer Protection Laws","Customer data protection controls (encryption, access controls); secure authentication (MFA); fraud monitoring; incident response; privacy notices","Privacy policies; security advisories; breach notifications (when applicable); customer service channels",Continuous,Head of Retail Banking
IP-018,Corporate Banking Clients,External - Customer,"Approximately 10,000 corporate clients including SMEs and large enterprises","Confidentiality of business and financial information; secure corporate banking platforms; segregation of duties; audit logs; SLA guarantees; business continuity","GDPR (for corporate contacts), commercial contracts, NDA agreements","Enterprise-grade security controls; dedicated relationship management; SLA monitoring; segregated environments; comprehensive logging; disaster recovery","Contractual SLAs; quarterly business reviews; annual security attestations; incident notifications",Quarterly,Head of Corporate Banking
IP-019,Cloud Service Providers (AWS),External - Supplier,"Major cloud infrastructure provider hosting critical banking systems","Shared responsibility model implementation; secure configuration; data residency compliance (EU); vendor security assessments; right to audit; breach notification","GDPR Article 28 (processor requirements), EBA Cloud Outsourcing Guidelines, DORA","Third-party risk management program; cloud security architecture; vendor assessments; contractual security requirements; monitoring and oversight","Quarterly business reviews; security incident coordination; annual audits (SOC 2, ISO 27001); service review meetings",Quarterly,CIO/CISO
IP-020,SWIFT Network,External - Supplier,"Secure messaging network for interbank communications and payments","SWIFT Customer Security Programme (CSP) compliance; secure connectivity; transaction integrity; attestation requirements; security controls framework","SWIFT CSP, Financial sector regulations","SWIFT CSP compliance program; secure SWIFT infrastructure; annual attestation; security controls (CSP mandatory and advisory); ongoing monitoring","SWIFT Community; attestation submissions; security updates; incident notifications",Annual + ongoing,Head of Payments
IP-021,Outsourcing / Third-Party Service Providers,External - Supplier,"IT service providers, facilities management, security services, etc.","Security requirements in contracts; right to audit; background checks; incident notification; data protection obligations; business continuity","GDPR Article 28, EBA Outsourcing Guidelines, DORA Article 28","Third-party risk management framework; vendor due diligence; security requirements in contracts; ongoing monitoring; exit strategies","Contract negotiations; quarterly performance reviews; annual security assessments; incident coordination",Quarterly,Procurement/CISO
IP-022,"Correspondent Banks & Interbank Networks (SEPA, TARGET2)",External - Supplier,"Banking partners for payment processing and settlement services","Secure connectivity; transaction security; fraud prevention; KYC/AML cooperation; operational resilience; business continuity","EU Payment Systems Regulations, ECB TARGET2 requirements, SEPA Rulebooks","Secure integration architecture; transaction monitoring; correspondent banking procedures; business continuity arrangements","Regular operational meetings; incident coordination; annual reviews; secure communication channels",Quarterly,Head of Payments
IP-023,"Payment Card Networks (Visa, Mastercard)",External - Supplier,"Payment card scheme providers for card issuing and acquiring","PCI DSS compliance; secure cardholder data handling; fraud prevention; incident reporting; network security standards","PCI DSS, Payment Card Network Operating Rules","PCI DSS compliance program; annual AOC (Attestation of Compliance); card data security; tokenization; fraud monitoring","Annual PCI assessments; quarterly ASV scans; incident reporting; compliance attestations",Quarterly,Head of Card Services
IP-024,External / Statutory Auditors,External - Oversight,"Independent auditors conducting annual financial statement audits","Audit rights to systems and data; security of audit data; confidentiality; cooperation with audit procedures; access controls","German Commercial Code (HGB), EU Audit Regulation, ISA Standards","Auditor access procedures; audit data security; confidentiality agreements; cooperation protocols; audit log reviews","Annual audit planning; interim and year-end audits; management letter response",Annual,CFO
IP-025,ISO 27001 Certification Body,External - Oversight,"Accredited certification body conducting ISMS certification audits","Evidence of ISMS implementation; compliance with ISO 27001 requirements; corrective action on non-conformities; continuous improvement; surveillance audits","ISO/IEC 27001:2022, IAF Mandatory Documents","Complete ISMS documentation; internal audit program; management review; corrective action procedures; surveillance readiness","Initial certification audit; annual surveillance audits; triennial recertification; corrective action responses",Annual,CISO
IP-026,"Law Enforcement Agencies (Europol, National Police)",External - Oversight,"Criminal investigation and law enforcement authorities","Lawful intercept capabilities; data preservation; cooperation with investigations; cybercrime reporting; evidence handling","Criminal Procedure Codes, Data Retention Directives, Cybercrime Convention","Law enforcement cooperation procedures; data preservation processes; lawful access procedures; incident reporting to law enforcement","As required by law; cybercrime incident reporting; investigation cooperation",As required,Legal/CISO
IP-027,Shareholders / Investors,External - Financial,"Equity holders and institutional investors","Protection of shareholder value; transparency on cyber risks; incident disclosure; effective governance; long-term stability","Securities Laws, Corporate Governance Requirements, Transparency Directive","Risk reporting and disclosure; investor relations communications; annual reports; material incident disclosure","Annual reports; investor presentations; extraordinary disclosures for material incidents",Annual + ad-hoc,CFO/IR
IP-028,Cyber Insurance Underwriters,External - Financial,"Insurance providers offering cyber risk insurance coverage","Risk assessment cooperation; security control implementation; incident notification; claim documentation; loss mitigation","Insurance contract terms, Insurance regulations","Risk assessments for underwriting; security documentation; incident notification procedures; claim procedures; continuous improvement","Annual policy renewals; risk assessments; incident notifications; claim processes",Annual + incidents,CRO/CISO
IP-029,European Banking Federation / National Banking Associations,External - Industry,"Industry associations and professional bodies representing banking sector","Industry best practice adoption; threat intelligence sharing; standards development; regulatory advocacy; peer collaboration",Voluntary membership,"Industry working group participation; best practice implementation; threat intelligence sharing; benchmarking participation","Industry forums; working groups; annual conferences; threat intelligence sharing platforms",Quarterly,CISO
IP-030,Media and General Public,External - Public,"Press, media outlets, and general public opinion","Transparency in security incidents (when publicly disclosed); responsible disclosure; reputation management; public trust","Media laws, Defamation laws, Public Relations best practices","Communications and PR strategy; incident communications plan; media spokesperson designation; responsible disclosure policy","Press releases (for significant incidents); media inquiries response; annual transparency reports; social media monitoring",As needed,CCO/PR
